Team,Conf,Season,Game,Home,Away,Points,Points Against,Date
South Carolina,SEC,2002,South Carolina vs Mississippi State,South Carolina,Mississippi State,34,10,2002-10-05T17:00:00.000Z
Alabama,SEC,2002,Alabama vs Georgia,Alabama,Georgia,25,27,2002-10-05T19:30:00.000Z
Tennessee,SEC,2002,Tennessee vs Arkansas,Tennessee,Arkansas,41,38,2002-10-05T23:45:00.000Z
LSU,SEC,2002,LSU vs Louisiana,LSU,Louisiana,48,0,2002-10-06T00:00:00.000Z
Auburn,SEC,2002,Auburn vs Arkansas,Auburn,Arkansas,17,38,2002-10-12T16:30:00.000Z
Ole Miss,SEC,2002,Ole Miss vs Arkansas State,Ole Miss,Arkansas State,52,17,2002-10-12T18:00:00.000Z
Mississippi State,SEC,2002,Mississippi State vs Troy,Mississippi State,Troy,11,8,2002-10-12T18:30:00.000Z
Georgia,SEC,2002,Georgia vs Tennessee,Georgia,Tennessee,18,13,2002-10-12T19:30:00.000Z
Kentucky,SEC,2002,Kentucky vs South Carolina,Kentucky,South Carolina,12,16,2002-10-12T22:30:00.000Z
Vanderbilt,SEC,2002,Vanderbilt vs Middle Tennessee,Vanderbilt,Middle Tennessee,20,21,2002-10-12T23:00:00.000Z
Florida,SEC,2002,Florida vs LSU,Florida,LSU,7,36,2002-10-12T23:45:00.000Z
Georgia,SEC,2002,Georgia vs Vanderbilt,Georgia,Vanderbilt,48,17,2002-10-19T16:30:00.000Z
Arkansas,SEC,2002,Arkansas vs Kentucky,Arkansas,Kentucky,17,29,2002-10-19T18:00:00.000Z
Alabama,SEC,2002,Alabama vs Ole Miss,Alabama,Ole Miss,42,7,2002-10-19T19:30:00.000Z
Florida,SEC,2002,Florida vs Auburn,Florida,Auburn,30,23,2002-10-19T22:45:00.000Z
LSU,SEC,2002,LSU vs South Carolina,LSU,South Carolina,38,14,2002-10-19T23:45:00.000Z
Memphis,Conference USA,2002,Memphis vs Mississippi State,Memphis,Mississippi State,17,29,2002-10-20T00:00:00.000Z
Auburn,SEC,2002,Auburn vs LSU,Auburn,LSU,31,7,2002-10-26T16:30:00.000Z
Vanderbilt,SEC,2002,Vanderbilt vs UConn,Vanderbilt,UConn,28,24,2002-10-26T18:00:00.000Z
Arkansas,SEC,2002,Arkansas vs Ole Miss,Arkansas,Ole Miss,48,28,2002-10-26T18:00:00.000Z
Kentucky,SEC,2002,Kentucky vs Georgia,Kentucky,Georgia,24,52,2002-10-26T19:30:00.000Z
Tennessee,SEC,2002,Tennessee vs Alabama,Tennessee,Alabama,14,34,2002-10-26T23:45:00.000Z
Ole Miss,SEC,2002,Ole Miss vs Auburn,Ole Miss,Auburn,24,31,2002-11-02T18:30:00.000Z
Vanderbilt,SEC,2002,Vanderbilt vs Alabama,Vanderbilt,Alabama,8,30,2002-11-02T20:00:00.000Z
